YEAR,REGION,STATE,CIHAND,CIHAND_COUNTS
2015,41,Colorado,1.0,43751
2015,41,Colorado,2.0,7723
2015,41,Idaho,0.0,466
2015,41,Idaho,1.0,12214
2015,41,Idaho,2.0,3045
2015,41,Montana,0.0,464
2015,41,Montana,1.0,6768
2015,41,Montana,2.0,2609
2015,41,Nevada,0.0,505
2015,41,Nevada,1.0,21924
2015,41,Nevada,2.0,4559
2015,41,New Mexico,0.0,771
2015,41,New Mexico,1.0,12712
2015,41,New Mexico,2.0,5589
2015,41,Utah,0.0,1067
2015,41,Utah,1.0,24993
2015,41,Utah,2.0,3230
2015,41,Wyoming,0.0,191
2015,41,Wyoming,1.0,4514
2015,41,Wyoming,2.0,1114
2015,42,Alaska,0.0,465
2015,42,Alaska,1.0,5264
2015,42,Alaska,2.0,890
2015,42,California,0.0,15341
2015,42,California,1.0,304369
2015,42,California,2.0,55233
2015,42,Hawaii,0.0,770
2015,42,Hawaii,1.0,11321
2015,42,Hawaii,2.0,2033
2015,42,Oregon,0.0,1811
2015,42,Oregon,1.0,31496
2015,42,Oregon,2.0,6685
2015,42,Washington,0.0,2906
2015,42,Washington,1.0,57906
2015,42,Washington,2.0,10992
