YEAR,REGION,STATE,CITABLET,CITABLET_COUNTS
2018,31,Virginia,2.0,19917
2018,31,West Virginia,0.0,907
2018,31,West Virginia,1.0,11375
2018,31,West Virginia,2.0,5784
2018,32,Alabama,0.0,2292
2018,32,Alabama,1.0,29638
2018,32,Alabama,2.0,15847
2018,32,Kentucky,0.0,2383
2018,32,Kentucky,1.0,29663
2018,32,Kentucky,2.0,13429
2018,32,Mississippi,0.0,1727
2018,32,Mississippi,1.0,16954
2018,32,Mississippi,2.0,10443
2018,32,Tennessee,0.0,2886
2018,32,Tennessee,1.0,44836
2018,32,Tennessee,2.0,20228
2018,33,Arkansas,0.0,1531
2018,33,Arkansas,1.0,18230
2018,33,Arkansas,2.0,10742
2018,33,Louisiana,0.0,2063
2018,33,Louisiana,1.0,26630
2018,33,Louisiana,2.0,14896
2018,33,Oklahoma,0.0,2252
2018,33,Oklahoma,1.0,22585
2018,33,Oklahoma,2.0,12811
2018,33,Texas,0.0,10847
2018,33,Texas,1.0,180304
2018,33,Texas,2.0,76949
2018,41,Arizona,0.0,3176
2018,41,Arizona,1.0,47999
2018,41,Arizona,2.0,18815
2018,41,Colorado,0.0,2202
2018,41,Colorado,1.0,41047
2018,41,Colorado,2.0,12679
2018,41,Idaho,0.0,491
2018,41,Idaho,1.0,11771
2018,41,Idaho,2.0,4449
2018,41,Montana,0.0,434
2018,41,Montana,1.0,6676
2018,41,Montana,2.0,3226
2018,41,Nevada,0.0,546
2018,41,Nevada,1.0,20607
2018,41,Nevada,2.0,7774
2018,41,New Mexico,0.0,794
2018,41,New Mexico,1.0,10865
2018,41,New Mexico,2.0,7588
2018,41,Utah,0.0,1145
2018,41,Utah,1.0,25247
2018,41,Utah,2.0,5211
2018,41,Wyoming,0.0,188
2018,41,Wyoming,1.0,3939
2018,41,Wyoming,2.0,1613
2018,42,Alaska,0.0,529
2018,42,Alaska,1.0,4178
2018,42,Alaska,2.0,2004
2018,42,California,0.0,16913
2018,42,California,1.0,272284
2018,42,California,2.0,89620
2018,42,Hawaii,0.0,877
2018,42,Hawaii,1.0,10409
2018,42,Hawaii,2.0,3114
2018,42,Oregon,0.0,1932
2018,42,Oregon,1.0,29851
2018,42,Oregon,2.0,10334
2018,42,Washington,0.0,3242
2018,42,Washington,1.0,55677
2018,42,Washington,2.0,17306
